City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Calama,CL,-22.4667,-68.9333,73.89,9,0,12.66,clear sky
80,Kathmandu,NP,27.7167,85.3167,41.22,93,20,0.0,few clouds
81,Klaksvik,FO,62.2266,-6.589,36.52,76,61,30.06,broken clouds
82,College,US,64.8569,-147.8028,2.59,79,75,4.61,broken clouds
83,Adeje,ES,28.1227,-16.726,70.21,61,0,1.99,clear sky
84,Coihaique,CL,-45.5752,-72.0662,70.41,46,75,8.05,broken clouds
85,Acapulco,MX,16.8634,-99.8901,82.22,69,0,8.05,clear sky
86,San Cristobal,VE,7.7669,-72.225,75.38,69,98,1.72,overcast clouds
87,Altayskoye,RU,51.9533,85.3325,6.4,82,2,5.53,clear sky
88,Bluff,NZ,-46.6,168.3333,50.81,74,94,13.69,overcast clouds
89,Bambanglipuro,ID,-7.95,110.2833,62.6,85,100,4.94,overcast clouds
90,Santa Cruz,BO,-17.8,-63.1667,71.65,94,100,13.8,thunderstorm with light rain
91,Ancud,CL,-41.8697,-73.8203,72.23,59,16,7.16,few clouds
92,Airai,TL,-8.9266,125.4092,60.91,92,100,2.01,overcast clouds
93,Sterling,US,39.0062,-77.4286,34.52,50,40,1.01,scattered clouds
94,Copala,MX,16.65,-98.9833,85.01,43,0,8.63,clear sky
95,Havoysund,NO,70.9963,24.6622,29.28,70,9,32.23,clear sky
96,Caravelas,BR,-17.7125,-39.2481,78.13,79,100,8.9,overcast clouds
97,Zabol,AF,32.25,67.25,45.54,35,100,4.43,overcast clouds
98,Savino,RU,56.5929,41.2181,0.91,100,96,2.04,overcast clouds
99,Glenwood Springs,US,39.5505,-107.3248,34.83,42,0,9.22,clear sky
100,Mangan,IN,27.5167,88.5333,40.21,78,0,9.28,clear sky
101,Ozinki,RU,51.1786,49.6769,21.11,95,100,9.91,light snow
102,Codrington,AU,-38.2667,141.9667,56.17,88,85,8.59,overcast clouds
103,Fuengirola,ES,36.54,-4.6247,61.84,44,20,8.05,few clouds
104,Kyzyl-Suu,KG,42.3414,78.0056,11.89,57,0,14.61,clear sky
105,Zhaotong,CN,27.3167,103.7167,33.93,95,97,5.66,overcast clouds
106,Dumas,US,35.8656,-101.9732,42.12,48,0,23.02,clear sky
107,Ilulissat,GL,69.2167,-51.1,6.82,47,75,11.5,broken clouds
108,Atuona,PF,-9.8,-139.0333,78.82,75,7,23.55,clear sky
109,Chapais,CA,49.7834,-74.8492,-2.42,73,76,10.76,broken clouds
110,Hovd,MN,48.0056,91.6419,-12.77,81,16,2.68,few clouds
111,Lakes Entrance,AU,-37.8811,147.981,52.16,89,0,5.55,clear sky
112,Turukhansk,RU,65.8167,87.9833,-13.07,100,66,2.68,broken clouds
113,Llandrindod Wells,GB,52.2416,-3.3787,48.92,92,100,28.23,heavy intensity rain
114,Saldanha,ZA,-33.0117,17.9442,82.45,73,0,7.45,clear sky
115,Norman Wells,CA,65.282,-126.8329,-7.58,91,99,6.85,overcast clouds
116,Provideniya,RU,64.3833,-173.3,-6.12,86,2,10.87,clear sky
117,Igarka,RU,67.4667,86.5833,-6.7,99,97,5.28,overcast clouds
118,Pevek,RU,69.7008,170.3133,-28.68,99,37,3.47,scattered clouds
119,Lompoc,US,34.6391,-120.4579,70.12,51,0,3.44,clear sky
120,Williams Lake,CA,52.1415,-122.1445,38.77,80,75,2.3,broken clouds
121,Bathsheba,BB,13.2167,-59.5167,83.01,57,20,16.11,few clouds
122,Kahului,US,20.8947,-156.47,77.85,79,20,0.0,few clouds
123,Strai,NO,58.2,7.9,42.64,86,75,1.99,light rain
124,Balsas,BR,-7.5325,-46.0356,85.26,64,93,0.47,overcast clouds
125,Porto Novo,BJ,6.4965,2.6036,84.02,79,0,6.89,clear sky
126,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,70,0,20.71,thunderstorm
127,Okoneshnikovo,RU,54.8377,75.0834,5.02,86,95,7.72,overcast clouds
128,Coquimbo,CL,-29.9533,-71.3436,72.09,66,2,8.75,clear sky
129,San Patricio,US,28.017,-97.5169,50.16,29,0,4.7,clear sky
130,Gat,IL,31.61,34.7642,52.48,72,77,7.29,broken clouds
131,Worland,US,44.0169,-107.9554,47.55,61,0,1.01,clear sky
132,Srikakulam,IN,18.3,83.9,68.11,56,100,4.21,overcast clouds
133,Saint-Augustin,CA,51.226,-58.6502,5.31,94,100,16.31,light snow
134,East London,ZA,-33.0153,27.9116,67.14,94,20,5.75,light intensity drizzle
135,Cayenne,GF,4.9333,-52.3333,84.24,81,75,5.99,broken clouds
136,Brookhaven,US,31.5791,-90.4407,46.24,36,0,7.83,clear sky
137,Dikson,RU,73.5069,80.5464,-18.2,100,99,3.47,overcast clouds
138,Davenda,RU,53.5556,119.317,-7.67,94,99,4.34,overcast clouds
139,Kruje,AL,41.5092,19.7928,41.02,71,75,2.3,broken clouds
140,Karratha,AU,-20.7377,116.8463,84.33,71,100,6.78,overcast clouds
141,Kodiak,US,57.79,-152.4072,31.51,86,75,5.75,broken clouds
142,Puerto Escondido,MX,15.85,-97.0667,83.23,74,0,6.91,clear sky
143,Touros,BR,-5.1989,-35.4608,88.7,58,3,12.84,clear sky
144,Booue,GA,-0.0921,11.9385,78.93,65,4,2.77,clear sky
145,Nemuro,JP,43.3236,145.575,23.49,73,100,18.1,overcast clouds
146,Cape Town,ZA,-33.9258,18.4232,76.87,59,0,1.99,clear sky
147,Aswan,EG,24.0934,32.907,55.17,44,0,10.98,clear sky
148,Hithadhoo,MV,-0.6,73.0833,82.24,73,100,12.95,overcast clouds
149,Sibolga,ID,1.7427,98.7792,75.54,90,100,3.24,overcast clouds
150,Saskylakh,RU,71.9167,114.0833,-25.74,100,98,3.2,overcast clouds
151,Hofn,IS,64.2539,-15.2082,28.76,55,100,9.98,overcast clouds
152,San Rafael,AR,-34.6177,-68.3301,59.94,66,100,5.06,overcast clouds
153,Aklavik,CA,68.2191,-135.0107,-31.97,66,40,4.61,scattered clouds
154,Kapaa,US,22.0752,-159.319,67.98,94,20,6.91,few clouds
155,Omboue,GA,-1.5746,9.2618,77.43,85,4,5.91,clear sky
156,Nikolskoye,RU,59.7035,30.7861,24.87,94,100,9.95,light snow
157,Nago,JP,26.5881,127.9761,57.27,68,73,13.78,broken clouds
158,Siilinjarvi,FI,63.0833,27.6667,21.22,86,100,9.22,light snow
159,Gagra,GE,43.3283,40.2239,32.92,64,74,5.59,light snow
160,Brest,BY,52.1,23.7,34.07,83,100,17.0,overcast clouds
161,Okha,RU,53.5739,142.9478,4.68,92,100,20.6,overcast clouds
162,Ostrovnoy,RU,68.0531,39.5131,16.25,82,100,31.25,overcast clouds
163,Tavda,RU,58.0425,65.2726,17.58,93,100,4.52,overcast clouds
164,Zabaykalsk,RU,49.6333,117.3167,-7.01,96,66,7.52,broken clouds
165,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,20,11.5,few clouds
166,San Nicolas,PH,18.1725,120.5953,75.11,69,20,6.91,few clouds
167,Kopayhorod,UA,48.8592,27.7969,33.39,85,100,11.79,overcast clouds
168,Khatanga,RU,71.9667,102.5,-31.72,99,99,2.08,overcast clouds
169,Camacupa,AO,-12.0167,17.4833,61.84,80,100,3.33,overcast clouds
170,Vaini,TO,-21.2,-175.2,75.36,100,100,12.66,light rain
171,Naze,JP,28.3667,129.4833,51.01,69,100,16.71,overcast clouds
172,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,18.19,58,0,11.18,clear sky
173,Mahebourg,MU,-20.4081,57.7,80.26,89,75,20.71,light intensity shower rain
174,Linjiang,CN,41.8069,126.9078,2.5,99,95,1.52,overcast clouds
175,Pingliang,CN,35.5392,106.6861,18.88,96,100,1.54,light snow
176,Ban Nahin,LA,18.2418,104.2122,57.25,81,32,4.36,scattered clouds
177,Kaitangata,NZ,-46.2817,169.8464,47.7,82,79,5.37,broken clouds
178,Portland,US,45.5234,-122.6762,49.41,87,75,1.01,broken clouds
179,East Foothills,US,37.3811,-121.8175,61.61,56,75,0.0,broken clouds
180,Carnarvon,AU,-24.8667,113.6333,80.67,83,0,10.36,clear sky
181,Vila,PT,42.0304,-8.1588,43.68,89,0,4.81,clear sky
182,Avera,US,33.194,-82.5271,50.92,41,6,7.78,clear sky
183,Saint-Philippe,RE,-21.3585,55.7679,81.99,86,100,21.74,light rain
184,Mana,GF,5.6592,-53.7767,80.8,77,33,10.74,scattered clouds
185,Carrickmacross,IE,53.9728,-6.7189,48.67,79,100,20.27,overcast clouds
186,Te Anau,NZ,-45.4167,167.7167,42.82,88,18,2.39,few clouds
187,Port Elizabeth,ZA,-33.918,25.5701,69.1,83,75,17.27,broken clouds
188,Upernavik,GL,72.7868,-56.1549,-0.85,98,100,4.74,overcast clouds
189,Talnakh,RU,69.4865,88.3972,-17.63,100,100,3.18,overcast clouds
190,Broken Hill,AU,-31.95,141.4333,67.71,42,75,13.8,broken clouds
191,Moose Jaw,CA,50.4001,-105.5344,21.56,93,97,3.44,overcast clouds
192,Sao Filipe,CV,14.8961,-24.4956,74.68,67,0,10.6,clear sky
193,Nanortalik,GL,60.1432,-45.2371,11.75,62,49,20.42,scattered clouds
194,Chernyshevskiy,RU,63.0128,112.4714,-6.56,100,100,2.73,overcast clouds
195,Fethiye,TR,36.6217,29.1164,44.47,58,0,4.41,clear sky
196,Singkang,MY,2.1006,102.7994,78.69,95,100,5.86,overcast clouds
197,Istisu,AZ,40.9457,48.0738,29.07,70,35,5.99,scattered clouds
198,Yaransk,RU,57.3033,47.8861,15.98,98,100,5.03,overcast clouds
199,Phangnga,TH,8.4509,98.5298,80.64,87,90,3.96,overcast clouds
200,Bozoum,CF,6.3193,16.3799,72.93,19,80,3.71,broken clouds
201,Vangaindrano,MG,-23.35,47.6,76.62,95,100,26.46,heavy intensity rain
202,Honningsvag,NO,70.9821,25.9704,29.05,73,20,33.06,few clouds
203,Hami,CN,42.8,93.45,26.55,28,100,11.48,overcast clouds
204,Drinovci,BA,43.355,17.3539,41.63,87,17,4.72,few clouds
205,Bengkulu,ID,-3.8004,102.2655,74.25,96,100,9.01,moderate rain
