City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kaposvar,HU,2022-02-02 06:31:50,46.3667,17.8,35.31,80,21,7.25
67,Vaini,TO,2022-02-02 06:31:50,-21.2,-175.2,82.56,78,20,6.91
68,Port Alfred,ZA,2022-02-02 06:31:50,-33.5906,26.891,84.79,60,94,6.04
69,Brae,GB,2022-02-02 06:31:51,60.3964,-1.353,40.91,81,100,10.11
70,Nchelenge,ZM,2022-02-02 06:31:51,-9.3451,28.734,70.03,86,95,4.74
71,Georgetown,MY,2022-02-02 06:31:51,5.4112,100.3354,91.35,70,20,8.01
72,Koumra,TD,2022-02-02 06:31:52,8.9126,17.5539,74.21,16,12,6.26
73,Jamestown,US,2022-02-02 06:31:52,42.097,-79.2353,35.71,49,0,7.0
74,Conakry,GN,2022-02-02 06:30:53,9.538,-13.6773,77.07,94,40,4.61
75,Castro,BR,2022-02-02 06:31:52,-24.7911,-50.0119,62.69,98,98,6.08
76,Bathsheba,BB,2022-02-02 06:31:53,13.2167,-59.5167,77.61,83,40,12.66
77,Pouembout,NC,2022-02-02 06:31:53,-21.1333,164.9,81.21,67,60,7.78
78,Vila Velha,BR,2022-02-02 06:31:54,-20.3297,-40.2925,73.94,95,100,1.01
79,Nishihara,JP,2022-02-02 06:31:54,26.1842,127.7558,67.28,86,100,6.91
80,Panguna,PG,2022-02-02 06:31:54,-6.3164,155.4848,75.34,81,97,2.91
81,Avarua,CK,2022-02-02 06:31:55,-21.2078,-159.775,78.85,89,100,8.05
82,Klaksvik,FO,2022-02-02 06:31:55,62.2266,-6.589,32.92,93,100,5.64
83,San Cristobal,VE,2022-02-02 06:29:25,7.7669,-72.225,62.76,64,52,1.59
84,Torbay,CA,2022-02-02 06:30:10,47.6666,-52.7314,19.58,79,75,13.8
85,Villarrica,PY,2022-02-02 06:31:56,-25.75,-56.4333,72.68,43,4,2.77
86,Salinopolis,BR,2022-02-02 06:31:56,-0.6136,-47.3561,78.35,85,100,9.22
87,Port Elizabeth,ZA,2022-02-02 06:31:56,-33.918,25.5701,82.69,69,0,3.44
88,Kovur,IN,2022-02-02 06:31:57,14.4833,79.9833,84.36,45,9,9.31
89,Mount Gambier,AU,2022-02-02 06:31:57,-37.8333,140.7667,67.91,37,40,17.27
90,Chuy,UY,2022-02-02 06:32:57,-33.6971,-53.4616,60.91,83,4,5.53
91,Ilam,NP,2022-02-02 06:32:58,26.9167,87.9167,54.84,64,75,4.34
92,Seydi,TM,2022-02-02 06:32:58,39.4816,62.9137,50.65,44,0,8.23
93,Mitha Tiwana,PK,2022-02-02 06:32:58,32.2486,72.1108,66.15,24,14,3.78
94,Santa Lucia,ES,2022-02-02 06:32:59,27.9117,-15.5407,65.77,68,20,5.75
95,Rincon,US,2022-02-02 06:32:59,32.296,-81.2354,51.85,77,100,9.22
96,Vanimo,PG,2022-02-02 06:33:00,-2.6741,141.3028,79.18,85,100,3.33
97,San Juan,AR,2022-02-02 06:33:00,-31.5375,-68.5364,75.49,50,100,5.79
98,Mahebourg,MU,2022-02-02 06:33:00,-20.4081,57.7,84.49,84,75,26.46
99,Bethel,US,2022-02-02 06:33:01,41.3712,-73.414,34.16,77,100,0.0
100,Kapaa,US,2022-02-02 06:33:01,22.0752,-159.319,73.72,79,75,10.36
101,Guerrero Negro,MX,2022-02-02 06:33:01,27.9769,-114.0611,59.11,71,95,13.04
102,Iquitos,PE,2022-02-02 06:33:02,-3.7481,-73.2472,75.24,94,0,0.0
103,Tiksi,RU,2022-02-02 06:33:02,71.6872,128.8694,-5.8,98,100,9.37
104,Maumere,ID,2022-02-02 06:33:02,-8.6199,122.2111,82.92,78,31,10.38
105,Kamina,CD,2022-02-02 06:33:03,-8.7386,24.9906,65.61,97,100,4.94
106,Cape Town,ZA,2022-02-02 06:33:03,-33.9258,18.4232,70.21,81,75,14.97
107,Dom Pedro,BR,2022-02-02 06:33:03,-4.4833,-44.45,72.32,97,56,1.59
